.,Unnamed: 1,  代码,Unnamed: 3,    名称,Unnamed: 5,..1,Unnamed: 7,涨幅,Unnamed: 9,现价,Unnamed: 11,涨跌,Unnamed: 13,买价,Unnamed: 15,卖价,Unnamed: 17,总手,Unnamed: 19,总金额,Unnamed: 21,现手,Unnamed: 23,1分钟涨速,Unnamed: 25,实体涨幅,Unnamed: 27,现均差%,Unnamed: 29,换手,Unnamed: 31,委比%,Unnamed: 33,自选时间,Unnamed: 35,自选价格,Unnamed: 37,自选收益,Unnamed: 39,总市值,Unnamed: 41,流通市值,Unnamed: 43,流通比例%,Unnamed: 45,4分钟涨速,Unnamed: 47,内盘,Unnamed: 49,外盘,Unnamed: 51,内外比,Unnamed: 53,备注,Unnamed: 55,利好,Unnamed: 57,利空,Unnamed: 59,主力净量,Unnamed: 61,量比,Unnamed: 63,TTM市盈率,Unnamed: 65,净利润,Unnamed: 67,市净率,Unnamed: 69,每股盈利,Unnamed: 71,细分行业,Unnamed: 73,所属行业,Unnamed: 75,昨收,Unnamed: 77,开盘,Unnamed: 79,开盘涨幅,Unnamed: 81,竞价换手,Unnamed: 83,最高,Unnamed: 85,最低,Unnamed: 87,5日涨幅,Unnamed: 89,10日涨幅,Unnamed: 91,20日涨幅,Unnamed: 93,年初至今,Unnamed: 95,振幅,Unnamed: 97,买量,Unnamed: 99,卖量,Unnamed: 101,笔数,Unnamed: 103,贡献度,Unnamed: 105,机构动向,Unnamed: 107,异动类型,Unnamed: 109,竞价评级,Unnamed: 111,总股本,Unnamed: 113,流通股本,Unnamed: 115,利润总额,Unnamed: 117,净利润增长率,Unnamed: 119,每股净资产,Unnamed: 121,金叉个数,Unnamed: 123,散户数量,Unnamed: 125,上市日期,Unnamed: 127,Unnamed: 128
4,,SH600000,浦发银行,--,,-0.10%,,10.17,,-0.01,,10.16,,10.17,,25192957,255707910,1000↑,,-0.20%,,-0.10%,,+0.20,,0.08%,,+7.39,,--,,--,,--,,338720372460,338720375511,100.00%,,+0.00%,,14167552,11025405,1.28,,--,,无,,无,,0.00,,0.57,,6.93,,50017000000,0.460,,1.52,,股份制银行,银行,,10.18,,10.18,,+0.00%,,0.00%,,10.18,,10.11,,--,,--,,--,,--,,0.69%,,475800,,328300,,20839,,--,,--,,--,,--,,33305838000,33305838300,53374000000亿,--,,22.13,,0,,--,,19991110,,,,,,,,,,,,,,,
4,,SH600004,白云机场,--,,+0.11%,,9.53,,+0.01,,9.52,,9.53,,6668916,,63502335,500↑,,+0.00%,,+0.00%,,+0.08,,0.28%,,+9.28,,--,,--,,--,,24561141038,22554825237,91.83%,,+0.11%,,3465074,,3203842,,1.08,,--,,无,,无,,0.00,,0.46,,18.14,,1421789000,1.19,,0.425,,机场,,机场航运,9.52,,9.53,,+0.11%,,0.00%,,9.54,,9.50,,--,,--,,--,,--,,0.42%,,84400,,396700,,7644,,--,,--,,--,,--,,2577244600,2366718283,1429450000亿,--,,8.01,,0,,--,,20030428,,,,,,,,,,,,
4,,SH600006,东风股份,--,,+0.00%,,6.92,,+0.00,,6.92,,6.93,,6585637,,45644375,6000↓,,+0.00%,,-0.14%,,-0.16,,0.33%,,-46.38,,--,,--,,--,,13840000000,13840000000,100.00%,,-0.14%,,3358950,,3226687,,1.04,,--,,无,,无,,0.00,,0.86,,56.41,,-435000000,1.65,,0.051,,商用载货车,汽车整车,6.92,,6.93,,+0.14%,,0.01%,,6.95,,6.92,,--,,--,,--,,--,,0.43%,,217700,,206000,,3662,,--,,--,,--,,--,,2000000000,2000000000,120131844亿,--,,4.18,,0,,--,,19990727,,,,,,,,,,,,,
4,,SH600007,中国国贸,--,,-0.58%,,20.66,,-0.12,,20.66,,20.67,,966100,,19983342,100↓,,+0.00%,,-0.67%,,-0.12,,0.10%,,+7.34,,--,,--,,--,,20810457070,20810457152,100.00%,,-0.05%,,460600,,505500,,0.911,,--,,无,,无,,0.00,,0.61,,17.57,,940326770,2.19,,0.930,,商业地产,房地产,,20.78,,20.80,,+0.10%,,0.00%,,20.81,,20.58,,--,,--,,--,,--,,1.11%,,2300,,2800,,4130,,--,,--,,--,,--,,1007282530,1007282534,1254876780亿,--,,9.42,,0,,--,,19990312,,,,,,,,,,,,
4,,SH600008,首创环保,--,,+0.33%,,3.08,,+0.01,,3.07,,3.08,,39093690,120327753,900↑,,+0.00%,,+0.33%,,+0.07,,0.53%,,+0.91,,--,,--,,--,,22609019356,22609019285,100.00%,,+0.00%,,14338062,24755628,0.579,,--,,无,,无,,0.00,,0.80,,13.25,,1434099300,1.08,,0.195,,综合环境治理,环境治理,3.07,,3.07,,+0.00%,,0.00%,,3.09,,3.06,,--,,--,,--,,--,,0.98%,,13594050,23200,,10843,,--,,--,,--,,--,,7340590700,7340590677,2426919900亿,--,,2.85,,0,,--,,20000427,,,,,,,,,,,,,,,,,
4,,SH600009,上海机场,--,,-0.22%,,31.23,,-0.07,,31.22,,31.23,,4722819,,147386880,3200↑,,-0.06%,,-0.35%,,+0.07,,0.23%,,-0.94,,--,,--,,--,,77710014990,63905309253,82.24%,,+0.00%,,2483150,,2239669,,1.11,,--,,无,,无,,0.00,,0.44,,32.84,,1634014000,1.85,,0.657,,机场,,机场航运,31.30,,31.34,,+0.13%,,0.00%,,31.35,,31.12,,--,,--,,--,,--,,0.73%,,5700,,72000,,10419,,--,,--,,--,,--,,2488313000,2046279515,2312078300亿,--,,16.90,,0,,--,,19980218,,,,,,,,,,,,
4,,SH600010,包钢股份,--,,+1.92%,,2.66,,+0.05,,2.65,,2.66,,1108530900,2943357600,113000↑,+0.00%,,+2.70%,,+0.18,,3.53%,,-46.51,,--,,--,,--,,120467726540,83472923443,69.29%,,+0.00%,,509759770,598771130,0.851,,--,,无,,无,,0.00,,1.73,,118.8,,232577630,2.31,,0.005,,普钢,,钢铁,,2.61,,2.59,,-0.77%,,0.02%,,2.71,,2.58,,--,,--,,--,,--,,4.98%,,8306820,,17114095,166014,,--,,--,,--,,--,,45288619000,31380798287,309247130亿,--,,1.15,,0,,--,,20010309,,,,,,,,,,,,,,,,
4,,SH600011,华能国际,--,,+0.14%,,6.95,,+0.01,,6.94,,6.95,,26727600,185712000,100↑,,+0.14%,,+0.14%,,+0.02,,0.24%,,-1.81,,--,,--,,--,,109101746350,76434083937,70.06%,,+0.14%,,14337150,12390450,1.16,,--,,无,,无,,0.00,,0.86,,7.49,,14840905000,1.63,,0.810,,火电,,电力,,6.94,,6.94,,+0.00%,,0.00%,,6.98,,6.91,,--,,--,,--,,--,,1.01%,,1531700,,498400,,18738,,--,,--,,--,,--,,15698093000,10997709919,23159498000亿,--,,4.26,,0,,--,,20011206,,,,,,,,,,,,,,
4,,SH600012,皖通高速,--,,-0.14%,,14.39,,-0.02,,14.39,,14.41,,2685000,,38772325,500↓,,-0.07%,,-0.14%,,-0.35,,0.23%,,+77.83,,--,,--,,--,,24586637441,16772984000,68.22%,,+0.07%,,1265200,,1419800,,0.891,,--,,无,,无,,0.00,,0.95,,14.09,,1477227500,1.98,,0.880,,高速公路,公路铁路运输,14.41,,14.41,,+0.00%,,0.00%,,14.52,,14.36,,--,,--,,--,,--,,1.11%,,13700,,2300,,7943,,--,,--,,--,,--,,1708591900,1165600000,1994737700亿,--,,7.28,,0,,--,,20030107,,,,,,,,,,,,,
4,,SH600015,华夏银行,--,,+0.30%,,6.67,,+0.02,,6.67,,6.68,,26353207,175357880,7200↓,,+0.15%,,+0.45%,,+0.24,,0.17%,,-32.06,,--,,--,,--,,106152569760,102632783967,96.68%,,+0.00%,,11702136,14651071,0.799,,--,,无,,无,,0.00,,0.74,,3.91,,17982000000,0.344,,1.04,,股份制银行,银行,,6.65,,6.64,,-0.15%,,0.00%,,6.68,,6.62,,--,,--,,--,,--,,0.90%,,381700,,1611300,,14088,,--,,--,,--,,--,,15914928000,15387223983,24322000000亿,--,,19.39,,0,,--,,20030912,,,,,,,,,,,,,,,
